,a1,a2,a3,a4,C,fitness
122,0.0,0.0,-1.0,0.625,-0.125,3
123,0.0,0.0,-1.0,0.25,-0.125,2
124,-0.5,0.0,-1.0,0.125,-0.125,0
125,0.0,0.0,-1.0,0.25,-0.125,3
126,0.0,0.0,-1.0,0.25,-0.125,6
127,0.0,0.0,-1.0,0.75,-0.125,1
128,0.0,0.0,-1.0,0.75,-0.125,1
129,0.0,0.0,-1.0,0.25,-0.125,2
130,0.0,0.0,-1.0,0.75,-0.125,1
131,0.0,0.0,-1.0,0.25,-0.125,1
132,0.0,0.0,-1.0,0.75,-0.125,1
133,0.0,0.0,-1.0,0.75,-0.125,2
134,0.0,0.0,-1.0,0.75,-0.125,1
135,0.0,0.0,-1.0,0.75,-0.125,2
136,0.0,0.0,-1.0,0.75,-0.125,1
137,0.0,0.0,-1.0,0.75,-0.125,3
138,0.0,0.0,-1.0,0.25,-0.125,1
139,0.0,0.0,-1.0,0.75,-0.125,4
140,0.625,0.125,-1.0,0.5,-0.125,4
141,-0.875,0.0,-1.0,0.5,-0.125,0
142,0.625,-0.375,-1.0,0.5,-0.125,0
143,0.125,0.125,-1.0,0.5,-0.125,5
144,0.625,0.125,-1.0,0.5,-0.125,1
145,0.625,0.125,-1.0,0.5,-0.125,1
146,-0.375,0.125,-1.0,0.5,-0.125,4
147,0.625,0.125,-1.0,0.5,-0.125,1
148,-0.375,0.0,-1.0,0.5,-0.125,0
149,0.625,-0.375,-1.0,0.5,-0.125,0
150,-0.375,0.125,-1.0,0.5,-0.125,0
151,0.125,0.125,-1.0,0.5,-0.125,2
152,-0.375,0.125,-1.0,0.5,-0.125,2
153,0.125,0.0,-1.0,0.5,-0.125,2
154,0.625,0.0,-1.0,0.5,-0.125,3
155,0.125,0.0,-1.0,0.5,-0.125,5
156,0.125,0.0,-1.0,0.5,-0.125,6
157,-0.375,0.125,-1.0,0.5,-0.125,4
158,-0.875,-0.375,-1.0,0.5,-0.125,0
159,-0.875,0.0,-1.0,0.5,0.375,2
160,0.0,0.0,-1.0,0.625,-0.125,1
161,0.0,0.0,-1.0,0.625,-0.125,7
162,0.0,0.0,-1.0,0.625,-0.125,1
163,0.0,0.0,-1.0,0.625,-0.125,4
164,0.0,0.0,-1.0,0.5,-0.125,4
165,0.0,-0.5,-1.0,0.625,-0.125,1
166,0.0,0.0,-1.0,0.625,-0.125,4
167,0.0,0.0,-1.0,0.625,-0.125,3
168,0.0,0.0,-1.0,0.5,0.375,0
169,0.0,0.0,-1.0,0.5,-0.125,1
170,0.0,0.0,-1.0,0.625,-0.125,2
171,0.0,0.0,-1.0,0.5,-0.125,3
172,0.0,0.0,-1.0,0.625,-0.125,1
173,0.0,0.0,-1.0,0.625,-0.125,1
174,0.0,0.0,-1.0,0.625,-0.125,4
175,0.0,0.0,-1.0,0.5,-0.125,2
176,0.0,0.0,-1.0,0.5,-0.125,7
177,0.0,0.0,-1.0,0.5,-0.125,4
178,0.0,0.0,-1.0,0.5,-0.125,1
179,0.0,0.0,-1.0,0.625,-0.125,2
180,0.0,0.125,-1.0,0.75,-0.125,2
181,0.0,0.0,-1.0,0.5,-0.125,8
182,0.125,0.125,-1.0,0.75,-0.125,3
183,-0.5,0.0,-1.0,0.5,-0.125,0
184,0.125,0.125,-1.0,0.75,-0.125,2
185,0.25,0.0,-1.0,0.5,-0.125,4
186,0.125,0.125,-1.0,0.5,-0.125,2
187,0.0,0.0,-1.0,0.75,-0.125,1
188,0.125,0.125,-1.0,0.5,-0.125,2
189,0.125,0.125,-1.0,0.5,-0.125,3
190,0.0,0.125,-1.0,0.5,-0.125,7
191,0.0,0.125,-1.0,0.75,-0.125,5
192,0.0,0.125,-1.0,0.75,-0.125,1
193,0.0,0.0,-1.0,0.75,-0.125,10
194,-0.25,0.0,-1.0,0.75,-0.125,0
195,0.0,0.0,-1.0,0.75,-0.125,1
196,0.125,0.125,-1.0,0.5,-0.125,1
197,0.0,0.125,-1.0,0.75,-0.125,1
198,0.125,0.0,-1.0,0.75,-0.125,7
199,0.0,0.125,-1.0,0.75,-0.125,1
200,0.0,-0.5,-1.0,0.625,-0.125,0
201,0.0,0.0,-1.0,0.5,-0.125,1
202,0.0,0.0,-1.0,0.5,-0.125,2
203,0.0,0.0,-1.0,0.5,-0.125,5
204,0.0,0.0,-1.0,0.625,-0.125,2
205,0.125,0.0,-1.0,0.625,-0.125,2
206,0.125,0.0,-1.0,0.625,-0.125,1
207,0.125,-0.5,-1.0,0.625,-0.125,1
