,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,fitness
555,0.25,-0.75,0.375,-0.75,-0.25,0.875,-0.25,0.875,-0.75,-0.5,0.375,-0.875,0.75,0.375,-0.875,-0.875,0.875,-0.625,0.0,0
556,0.25,0.5,0.375,-1.0,-0.5,0.875,-0.25,0.875,-0.875,-0.75,0.125,-0.875,0.75,0.375,0.125,-1.0,0.875,-1.0,0.0,2
557,0.5,0.0,0.625,-1.0,-0.5,0.875,-0.25,0.875,-0.875,0.0,0.875,-1.0,0.75,0.375,-0.375,-0.75,0.875,-0.625,0.0,1
558,0.25,-0.5,0.375,-1.0,-0.75,0.875,-0.5,0.625,-1.0,-1.0,0.875,-1.0,0.75,0.375,0.5,-1.0,0.875,-0.875,0.0,0
559,0.25,-0.5,0.375,-0.75,-0.75,0.875,-0.25,0.625,-1.0,-0.25,0.125,-1.0,0.625,0.625,-0.375,-0.75,0.875,-0.875,0.0,0
560,-1.0,-0.75,0.25,-0.875,-0.875,0.75,-0.625,0.875,-1.0,0.25,0.5,-0.25,0.875,-0.625,0.25,-0.625,0.75,-0.875,0.375,0
561,-0.5,-0.75,0.5,-0.875,0.125,0.75,-0.625,0.75,-1.0,0.25,0.5,-0.625,0.875,0.0,0.25,-0.875,0.375,-0.875,0.875,1
562,-1.0,0.25,0.5,-0.875,-1.0,0.75,-0.625,0.75,-0.75,0.5,-0.5,-0.25,0.75,-0.125,0.5,-0.375,0.75,-0.875,0.625,1
563,-0.5,0.25,0.25,-0.875,0.25,0.5,-0.875,0.75,-0.75,0.0,0.5,-0.125,-0.125,-0.875,0.75,-0.875,-0.75,-0.875,0.75,0
564,-1.0,0.25,0.5,-0.875,-0.5,0.5,-0.875,0.75,-0.75,0.5,0.0,-0.75,-0.125,-0.5,0.25,-0.125,0.75,-0.875,0.5,0
565,-0.5,0.25,-0.25,-0.875,0.125,0.75,-0.875,0.875,-0.5,0.5,0.5,-0.125,0.75,0.75,0.75,-0.125,0.875,-0.875,0.125,1
566,-0.25,0.75,0.75,-0.875,0.25,0.75,-0.875,0.75,-1.0,0.125,0.0,-0.125,-0.125,-0.5,0.25,-0.125,-0.625,-0.875,0.75,0
567,-0.875,0.75,0.0,-0.875,0.875,0.5,-0.625,0.75,-1.0,0.25,0.5,-0.25,-0.25,0.375,0.25,-0.125,-0.625,-0.875,0.625,0
568,-0.5,-0.875,0.5,-0.875,0.5,0.5,-0.875,0.75,-0.75,0.0,0.0,-0.25,-0.25,-0.875,0.125,-0.875,0.75,-0.875,0.0,0
